Country,City,Latitude,Longitude,index_x,Temperature,Humidity,Cloudiness,Wind Speed (mph)
co,restrepo,3.822034,-76.522423,7240.0,69.8,83.0,40.0,282.0
co,cumbitara,1.651744,-77.582248,6798.0,57.87,100.0,93.0,153.0
gy,lethem,3.3833333,-59.8,14738.0,74.62,84.0,51.0,245.39999999999998
co,chipaque,4.4425,-74.044167,6736.0,51.8,93.0,40.0,81.60000000000001
co,el castillo,3.563629,-73.794885,6823.0,69.06,69.0,62.0,147.6
my,beranang,2.8733,101.8697,24977.0,89.29,66.0,40.0,282.0
my,tampin,2.4701,102.2302,25083.0,88.0,66.0,20.0,282.0
cd,watsa,3.05,29.533333,5200.0,65.59,100.0,99.0,119.4
ug,mubende,0.5891667,31.36,41998.0,64.31,57.0,83.0,158.4
so,afmadu,0.5172222,42.0711111,39854.0,78.39,71.0,94.0,838.8000000000001
cm,bonaberi,4.0844444,9.6661111,5746.0,75.2,100.0,75.0,233.4
ga,cocobeach,0.9833333,9.6,12194.0,75.2,88.0,20.0,617.4
co,sapuyes,1.033333,-77.6,7376.0,40.87,99.0,78.0,429.6
co,ansermanuevo,4.797222,-75.995,6597.0,66.63,86.0,90.0,45.6
co,guacari,3.763828,-76.332916,6906.0,69.8,83.0,40.0,282.0
co,sotara,2.254617,-76.610856,7413.0,49.24,91.0,83.0,334.20000000000005
cm,yabassi,4.4544444,9.9655556,5804.0,75.2,100.0,75.0,58.8
mv,thinadhoo,0.5333333,72.9333333,23238.0,81.79,82.0,100.0,1230.6000000000001
ec,otavalo,0.2333333,-78.2666667,10353.0,53.6,81.0,75.0,67.2
et,moyale,3.569167,39.083333,11196.0,66.27,70.0,95.0,983.9999999999999
co,almaguer,1.917,-76.852331,6579.0,53.24,86.0,93.0,310.2
co,suaza,1.976108,-75.79454,7418.0,62.49,81.0,76.0,148.8
co,argelia,2.25563,-77.248762,6614.0,63.55,75.0,91.0,92.4
co,san luis,4.132578,-75.094994,7324.0,74.37,61.0,98.0,168.0
co,ortega,3.936105,-75.221692,7128.0,75.87,58.0,95.0,221.4
my,sri aman,1.247222,111.452778,25076.0,89.29,66.0,40.0,201.6
co,quimbaya,4.623056,-75.762778,7227.0,60.6,89.0,99.0,202.79999999999998
ph,koronadal,6.503056,124.846944,28481.0,88.92,64.0,29.0,148.8
sd,tambura,5.6,27.4666667,39380.0,68.43,98.0,100.0,351.6
ph,kinangan,6.301389,125.585,28469.0,85.21,67.0,44.0,171.6
co,suaita,6.101404,-73.440412,7414.0,56.01,94.0,90.0,231.0
ph,polomolok,6.221666,125.063982,29546.0,84.45,69.0,27.0,294.0
my,tanah merah,5.8,102.15,25084.0,89.29,66.0,40.0,415.79999999999995
ph,kinamayan,7.499444,125.673611,28468.0,89.6,62.0,75.0,483.00000000000006
co,sutatausa,5.247794,-73.852378,7430.0,51.8,93.0,40.0,255.0
ph,kulasi,5.9052,120.9569,28484.0,84.52,73.0,55.0,384.0
in,sivaganga,9.866667,78.483333,19468.0,93.2,49.0,20.0,201.6
ph,bindoy,9.759,123.1412,27445.0,85.12,65.0,100.0,136.79999999999998
sl,yamandu,8.1833333,-11.8,39793.0,69.8,98.0,100.0,83.39999999999999
et,hagere selam,6.483333,38.516667,11175.0,48.29,96.0,99.0,300.59999999999997
pa,sona,8.0166667,-81.3166667,26559.0,76.39,92.0,96.0,117.0
co,manzanares,5.324722,-75.156944,7048.0,52.48,94.0,97.0,141.0
co,la union,8.860556,-75.280556,7001.0,75.69,95.0,77.0,318.0
pa,buena vista,9.2747222,-79.6952778,26367.0,79.36,83.0,100.0,282.0
co,sogamoso,5.714344,-72.933908,7402.0,49.17,83.0,81.0,136.79999999999998
co,pauna,5.658611,-73.9825,7160.0,63.55,79.0,88.0,377.4
in,kombai,9.833333,77.316667,18305.0,87.89,53.0,97.0,170.39999999999998
co,cordoba,9.633333,-74.783333,6778.0,76.98,91.0,99.0,224.4
ph,libas,6.535556,124.778889,28624.0,89.74,62.0,16.0,173.4
ph,mahayag,9.9349,124.3164,28868.0,87.8,70.0,75.0,415.79999999999995
ph,la paz,8.270833,125.799722,28566.0,89.24,80.0,32.0,99.6
ph,cagayan de oro,8.481111,124.643056,27691.0,82.99,82.0,46.0,600.0
co,sucre,8.81136,-74.720839,7422.0,75.96,97.0,70.0,112.8
ng,ankpa,7.370575,7.6253,25232.0,71.35,95.0,97.0,401.40000000000003
ph,tugdan,12.3134,122.0853,30569.0,86.02,64.0,100.0,382.8
gt,sansare,14.747222,-90.1125,14652.0,64.4,68.0,40.0,832.1999999999999
gt,santa maria ixhuatan,14.19,-90.274722,14677.0,64.4,68.0,40.0,832.1999999999999
